time,current,cpu_cycles_0,insns_0,cache_hit_0,cache_miss_0,br_insns_0,br_miss_0,bus_cycles_0,cpu_cycles_1,insns_1,cache_hit_1,cache_miss_1,br_insns_1,br_miss_1,bus_cycles_1,cpu_cycles_2,insns_2,cache_hit_2,cache_miss_2,br_insns_2,br_miss_2,bus_cycles_2,cpu_cycles_3,insns_3,cache_hit_3,cache_miss_3,br_insns_3,br_miss_3,bus_cycles_3
8782279,2.092000,100934719,29863107,21115204,5244,245974,3719,50463175,103562,45865,18255,239,4787,904,42486,22216,10554,3521,25,702,90,2013,50672,20181,7539,148,1739,337,16038
8883720,1.296000,8526118,2728177,1828446,2195,92033,3497,4258919,86593,37973,15116,210,3804,671,34009,22319,10574,3523,26,702,90,2100,43477,19633,7483,127,1675,280,12511
8985178,2.080000,100579539,27550387,20837728,5923,408933,4842,50285599,100251,44538,17468,228,4733,845,40888,22411,10563,3526,26,706,93,2082,64901,25986,9837,173,2431,492,23210
9086627,1.256000,61289471,17258803,13017505,3860,280657,3483,30640527,102034,42127,16813,186,4317,788,41766,22195,10565,3521,26,702,91,2019,22962,10626,3520,34,703,92,2090
9188083,2.144000,47471047,23495332,19874522,3652,390417,4162,23731409,86264,40716,15924,217,4260,801,33869,22398,10569,3526,26,706,92,2108,42423,19215,6988,117,1682,309,12078
9289530,2.176000,100935193,49267771,41869189,5161,733330,3661,50463439,112680,52070,20913,252,5657,1071,47376,22411,10580,3521,27,702,92,2074,54118,23017,8600,119,2111,394,17859
9390962,1.256000,13875716,6987946,5797290,2490,168567,3902,6933755,83187,37964,15113,189,3809,674,32319,22305,10544,3521,26,702,91,2054,43028,19828,7561,128,1684,280,12274
9492609,2.468000,95819039,9693670,7993046,696131,571878,3763,47905371,395158,49011,19330,230,5296,956,188338,28158,10541,3519,25,701,92,4997,169387,30869,12090,181,2944,538,75471
9594297,2.468000,101109681,10466429,8649497,754184,612167,3202,50550648,415939,46216,18486,214,4837,860,198680,23766,10580,3522,25,702,91,2715,24464,10620,3520,31,703,91,3057
9695980,2.468000,101102417,10462834,8635209,752382,613341,3966,50547004,383406,48545,19609,246,5187,921,182017,24081,10546,3521,25,702,91,2913,219339,28626,10156,174,3427,571,100529
9797882,2.472000,101114179,10318105,8520774,742646,606641,3144,50552885,428732,46380,18548,211,4856,858,204429,23346,10541,3522,25,702,90,2574,154571,20211,7549,149,1738,328,67858
9899494,2.192000,77343129,38566290,30711195,35250,1993921,4166,38667264,202832,51555,20582,272,5573,1065,92132,22590,10556,3521,26,702,93,2180,46434,20237,7518,124,1762,295,13900
10000967,2.184000,54488420,28713961,22800900,4320,1501725,5315,27240036,91128,41136,16102,216,4313,827,36331,22473,10562,3522,29,702,89,2181,61264,25757,9778,174,2385,443,21347
10102414,2.224000,65214676,38031077,27623412,4535,2625980,4478,32603139,104513,47104,18820,241,4927,878,43004,22450,10567,3521,27,702,92,2120,62020,27752,10789,180,2771,510,21758
10203862,2.236000,67167668,41785611,27747305,4571,3533575,4287,33579678,98417,44626,17475,210,4747,881,39984,22282,10557,3521,26,702,92,2070,43988,18988,7304,120,1657,310,12651
