time,current,cpu_cycles_0,insns_0,cache_hit_0,cache_miss_0,br_insns_0,br_miss_0,bus_cycles_0,cpu_cycles_1,insns_1,cache_hit_1,cache_miss_1,br_insns_1,br_miss_1,bus_cycles_1,cpu_cycles_2,insns_2,cache_hit_2,cache_miss_2,br_insns_2,br_miss_2,bus_cycles_2,cpu_cycles_3,insns_3,cache_hit_3,cache_miss_3,br_insns_3,br_miss_3,bus_cycles_3
8983111,4.660000,101116424,38512190,12010600,4024000,3489980,57116,50534967,101042585,38483516,11941920,4008569,3518774,56186,50514076,101002468,38804056,11897710,4004589,3633617,56682,50494023,100968146,38534549,11933346,4004358,3541130,57008,50479700
9084782,4.668000,101051613,39082545,11795145,4010864,3784751,58469,50521454,101024270,38742494,11760997,4027429,3655861,57111,50504957,100994765,38400658,11801385,4062244,3538148,55458,50490163,100955748,38722189,11791932,4044490,3628112,55113,50470705
9186448,4.412000,101058197,35584769,11972043,4072887,2734522,58057,50524567,101027207,35437977,11921491,4091562,2666642,56120,50506475,100990139,35402328,11906394,4098468,2666256,55954,50488027,100953521,35509124,11951199,4091382,2667563,55764,50469616
9288120,4.672000,101059263,38562513,12052910,4011295,3534174,58418,50525297,101028294,39003666,11962704,4011923,3648948,56764,50507072,100991214,38971319,11871859,3968017,3721663,64111,50488488,100953626,39110905,11915518,4009027,3702458,55922,50469683
9389802,4.456000,101075491,39084983,11761680,4008526,3801783,56870,50533352,101044195,38351709,11795976,4045342,3528394,55659,50514812,101006155,38153686,11791704,4060950,3477715,55653,50496010,100970441,38171587,11819126,4055647,3464757,55074,50478104
9491482,4.440000,101062590,35590789,11974771,4073081,2734666,57975,50526877,101012524,35432811,11919424,4087039,2666625,55951,50498832,100995730,35388297,11901311,4091293,2666564,56142,50490796,100959950,35401589,11906484,4085457,2664597,55479,50472851
9593340,4.684000,101042620,38532313,12072099,4013315,3516779,58624,50516913,101012830,39364156,11901710,3999975,3778818,55889,50499067,100967493,39289949,11846268,4007753,3791866,55962,50476595,100930091,39595913,11883049,3991340,3852561,56059,50457977
9695015,4.488000,101059942,39133270,11750177,3996785,3823775,57853,50525577,101030350,37938480,11833920,4060447,3393929,55237,50508107,100993677,37771246,11792175,4068572,3373089,54941,50489684,100961389,37690235,11853605,4061915,3318577,56069,50473495
9796764,4.476000,101079363,35556021,11960049,4062067,2737949,59288,50535265,101067414,35506114,11983541,4078800,2672504,56279,50526545,101040391,35360089,11899028,4096078,2667227,55909,50513091,101009137,36126328,12118612,4048262,2785408,56744,50497358
9898482,4.664000,101083088,38353084,12070549,4018606,3471883,58471,50537174,101049628,39290654,11671611,4020856,3846942,54490,50516596,101000659,39287765,11711472,4024921,3830458,55032,50492980,100959976,39350702,11682417,4027639,3852451,54459,50472352
