time,current,cpu_cycles_0,insns_0,cache_hit_0,cache_miss_0,br_insns_0,br_miss_0,bus_cycles_0,cpu_cycles_1,insns_1,cache_hit_1,cache_miss_1,br_insns_1,br_miss_1,bus_cycles_1,cpu_cycles_2,insns_2,cache_hit_2,cache_miss_2,br_insns_2,br_miss_2,bus_cycles_2,cpu_cycles_3,insns_3,cache_hit_3,cache_miss_3,br_insns_3,br_miss_3,bus_cycles_3
9789032,1.776000,123711,47032,18594,345,5111,960,52694,108736,45188,17920,391,4515,879,45167,62372316,38783643,25827895,3382,3233953,1791,31176809,428844,222995,90254,1730,40747,3500,210257
9890602,2.340000,78390,32489,11911,139,3374,449,26831,31685,11644,3821,48,828,91,3179,64983734,46703923,27321869,3801,4839767,2093,32484647,452798,228692,92787,1795,41369,3602,222160
9992103,2.316000,82854,38843,14599,199,4114,547,28733,97707,30357,11215,237,2925,567,36390,62572392,52497085,26237268,4050,6557897,2926,31279107,438390,226094,93131,1926,38404,3853,214930
10093615,1.264000,136099,43294,16727,282,4819,839,58835,46715,20167,7519,150,1754,329,14089,62019175,52167907,26071992,3928,6516793,3011,31000393,490006,248158,101658,1900,43503,3960,240863
10195344,1.768000,113868,46740,18011,265,5266,720,45017,33425,12528,4124,47,835,91,4300,65381417,13436007,9515937,10118,2372925,19166,32682839,788518,298206,121878,2060,52080,4834,390027
10297380,1.748000,230053,79276,31147,602,8706,1552,102234,205169,45233,17590,388,4330,920,89922,65647694,8304970,7387443,11355,1840027,21113,32814170,951302,349810,137088,3134,61686,5415,471225
10399177,2.652000,431808,90704,36582,783,9691,1970,203010,34620,12334,4123,46,835,94,4961,78617377,18429005,15855277,279911,1843137,14513,39298705,737523,241553,96260,1648,47476,3374,364586
10500996,2.648000,103428,23756,9149,165,2253,320,38842,172842,31399,11766,218,2863,579,74347,30059399,11160207,9464922,234706,561546,759,15022274,915037,249066,99515,1767,48707,3425,453097
10602651,1.260000,181199,38016,14944,324,3761,734,77666,98886,21084,7837,143,1749,324,38023,47070521,17446044,14804208,366515,876272,820,23527664,780326,239408,96330,1772,45204,3499,385859
10704301,2.492000,81966,18168,6452,73,1683,241,31735,84184,30064,11347,229,2837,562,32789,84527224,59027317,37847936,30881,6546230,1214,42254263,1266364,333957,137817,2420,56238,5616,629002
10806063,2.468000,366661,60568,24462,527,6263,1429,172179,106724,21605,8152,160,1907,342,42733,101019000,70345414,45104006,39729,7803666,826,50502362,844278,238992,95980,1674,46231,3437,417941
10907786,2.800000,106192,29236,10928,179,2881,432,41743,142032,28786,11066,224,2617,503,60977,63985629,36796797,35096783,31351,2556280,1081,31985774,922019,282694,115173,2048,51409,4275,456777
11009501,2.012000,718449,22454,8229,115,2018,267,347353,748395,20789,7860,157,1819,334,363763,101041657,52613526,57453568,86179,1798936,53641,50513478,1874088,316561,127604,2519,52639,5742,932861
11111267,1.596000,4858550,396533,127497,3301,55452,7633,2419891,4023810,30303,11754,236,2768,611,2002516,57017900,41014314,14878749,124247,3905255,180700,28501811,6635440,1082153,422890,10415,146031,20127,3311056
11212862,1.416000,898900,330144,119148,2696,42942,6918,440096,2569644,1094649,401002,7249,119786,20466,1275560,2464407,1290851,454836,9265,150680,13727,1222698,1699372,694484,280753,6969,88836,13302,845484
11314344,1.260000,106814,42820,17033,353,4417,960,44191,119287,43817,17257,526,4370,1173,50157,77501,37341,15102,232,3696,743,30136,453160,251017,103742,2153,41926,4295,222403
11415776,1.256000,36071,16262,5749,65,1417,224,8801,23070,10609,3522,42,706,94,2190,22895,10603,3525,26,711,92,2136,419970,237981,99023,2044,38495,4067,205756
11517242,1.260000,108243,44184,17777,394,4504,1046,44824,87886,40232,15676,386,3928,937,34659,23034,10594,3519,26,702,91,2276,442490,251472,105006,1971,40193,4290,217057
11618808,1.260000,91056,34705,13346,238,3495,731,36437,23825,10591,3526,45,710,93,2587,52134,24807,9237,178,2516,505,16829,1162364,464681,189680,5205,67361,12121,576865
11720254,1.244000,32837,14665,5317,59,1294,174,7165,79397,31194,11858,254,2967,662,30502,22726,10603,3523,27,706,94,2109,384471,217859,90060,1809,36600,3729,187987
11821921,1.260000,72754,30985,11819,230,3068,602,27317,45449,21229,7947,177,1857,341,13511,22698,10599,3522,28,706,92,2243,442802,230882,94986,2026,38631,4320,217213
11923971,1.208000,33009,15343,5359,62,1321,178,7291,74475,35149,13617,332,3415,708,27919,22786,9879,3480,27,686,90,2116,419677,231866,95964,2109,37840,4228,205620
12026077,1.204000,31986,15377,5359,54,1298,171,6845,46897,22278,8054,160,2037,399,14180,22455,10571,3522,27,706,90,2090,406930,231383,95221,1907,38325,4298,199300
12128117,1.208000,32999,14652,5299,56,1295,176,7331,62460,28737,11063,230,2623,552,21934,65454,28681,10641,216,2800,760,23565,461716,261742,109027,2089,41492,4752,226659
